layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4086860119277844e-05,1.4086860119277844e-05,1.5073328540893272e-07,1.5073328540893272e-07,0.010586991854909541,0.010586991854909541,1.9003865718841553
7,5,327680,4.07453604566399e-05,4.0629016439197585e-05,4.0629016439197585e-05,1.1634401744231717e-07,1.1634401744231717e-07,0.002855393010110373,0.002855393010110373,0.27584314346313477
14,5,327680,4.41105970821809e-05,4.4091135350754485e-05,4.4091135350754485e-05,1.9461731426416472e-08,1.9461731426416472e-08,0.0004412030830178518,0.0004412030830178518,0.3243861198425293
35,4,262144,1.3070159639028134e-05,1.3036471045779763e-05,1.3036471045779763e-05,3.3688593248371035e-08,3.3688593248371035e-08,0.0025775196461851357,0.0025775196461851357,0.32479333877563477
