layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.3368667396207456e-05,1.3368667396207456e-05,8.689260084793204e-07,8.689260084793204e-07,0.06103039915392475,0.06103039915392475,2.0555005073547363
7,5,327680,4.07453604566399e-05,3.929805388906971e-05,3.929805388906971e-05,1.4473065675701932e-06,1.4473065675701932e-06,0.035520769760041204,0.035520769760041204,0.5916728973388672
14,5,327680,4.41105970821809e-05,4.296818224247545e-05,4.296818224247545e-05,1.142414839705451e-06,1.142414839705451e-06,0.02589887499316906,0.02589887499316906,0.5408828258514404
35,4,262144,1.3070159639028134e-05,1.267711013497319e-05,1.267711013497319e-05,3.930495040549431e-07,3.930495040549431e-07,0.030072280286560397,0.030072280286560397,0.5678668022155762
