layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4014775388204725e-05,1.4014775388204725e-05,2.2281801648205146e-07,2.2281801648205146e-07,0.01564997750312939,0.01564997750312939,1.5232903957366943
7,5,327680,4.07453604566399e-05,4.050693387398496e-05,4.050693387398496e-05,2.3842658265494217e-07,2.3842658265494217e-07,0.005851625313480027,0.005851625313480027,0.14228200912475586
14,5,327680,4.41105970821809e-05,4.3990711856167766e-05,4.3990711856167766e-05,1.1988522601313482e-07,1.1988522601313482e-07,0.002717832764534583,0.002717832764534583,0.16621875762939453
35,4,262144,1.3070159639028134e-05,1.304357965636882e-05,1.304357965636882e-05,2.6579982659313828e-08,2.6579982659313828e-08,0.0020336387154709806,0.0020336387154709806,0.13813114166259766
