layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4019602531334385e-05,1.4019602531334385e-05,2.1799087335239165e-07,2.1799087335239165e-07,0.015310935433837625,0.015310935433837625,1.8657219409942627
7,5,327680,4.07453604566399e-05,4.064765016664751e-05,4.064765016664751e-05,9.771028999239342e-08,9.771028999239342e-08,0.002398071557039581,0.002398071557039581,0.5851161479949951
14,5,327680,4.41105970821809e-05,4.4106288987677546e-05,4.4106288987677546e-05,4.308094503355296e-09,4.308094503355296e-09,9.76657490110378e-05,9.76657490110378e-05,0.7062416076660156
35,4,262144,1.3070159639028134e-05,1.3048630080447765e-05,1.3048630080447765e-05,2.1529558580368757e-08,2.1529558580368757e-08,0.0016472299631352968,0.0016472299631352968,0.632211446762085
