layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4140640814730432e-05,1.4140640814730432e-05,9.695258995634504e-08,9.695258995634504e-08,0.006809619238348938,0.006809619238348938,1.4254918098449707
7,5,327680,4.07453604566399e-05,4.058039048686624e-05,4.058039048686624e-05,1.6496996977366372e-07,1.6496996977366372e-07,0.004048803788328741,0.004048803788328741,0.15442633628845215
14,5,327680,4.41105970821809e-05,4.406658990774304e-05,4.406658990774304e-05,4.400717443786426e-08,4.400717443786426e-08,0.0009976553787262512,0.0009976553787262512,0.1618649959564209
35,4,262144,1.3070159639028134e-05,1.3059751381661044e-05,1.3059751381661044e-05,1.040825736708939e-08,1.040825736708939e-08,0.0007963374323301934,0.0007963374323301934,0.21781706809997559
