layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.1430124607159086e-05,1.1430124607159086e-05,6.453899951945161e-07,6.453899951945161e-07,0.0534461690824112,0.0534461690824112,46.02612829208374
1,4,62914560,9.74841706407048e-06,9.102750051355931e-06,9.102750051355931e-06,6.456670127145483e-07,6.456670127145483e-07,0.06623301080277624,0.06623301080277624,43.86711502075195
6,4,62914560,1.3683765174240154e-05,1.3074213669976114e-05,1.3074213669976114e-05,6.095515042640408e-07,6.095515042640408e-07,0.04454559812320724,0.04454559812320724,42.400997161865234
7,5,87818240,3.290038464965347e-05,3.221353587439047e-05,3.221353587439047e-05,6.868487752629982e-07,6.868487752629982e-07,0.020876618391458,0.020876618391458,49.94071102142334
14,5,87818240,3.1084402412964106e-05,3.056826624932869e-05,3.056826624932869e-05,5.161361636354136e-07,5.161361636354136e-07,0.016604345702980385,0.016604345702980385,49.024670362472534
15,5,87818240,3.0390211542175194e-05,2.9852078331537967e-05,2.9852078331537967e-05,5.381332106372271e-07,5.381332106372271e-07,0.017707451950125845,0.017707451950125845,48.83422517776489
16,4,62914560,1.2284830700082238e-05,1.1754932825169816e-05,1.1754932825169816e-05,5.298978749124217e-07,5.298978749124217e-07,0.04313432458689678,0.04313432458689678,41.6002562046051
17,5,87818240,3.0214784012276876e-05,2.9694567573058712e-05,2.9694567573058712e-05,5.202164392181632e-07,5.202164392181632e-07,0.017217281414515118,0.017217281414515118,48.63851237297058
18,5,87818240,2.9663165392477495e-05,2.916291278820405e-05,2.916291278820405e-05,5.002526042734448e-07,5.002526042734448e-07,0.016864437684061446,0.016864437684061446,48.69981145858765
35,4,62914560,1.363365642343221e-05,1.3038999933693654e-05,1.3038999933693654e-05,5.946564897385556e-07,5.946564897385556e-07,0.04361680177861293,0.04361680177861293,41.60107493400574
