layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.3652865163749084e-05,1.3652865163749084e-05,5.84728240937693e-07,5.84728240937693e-07,0.04106931728681129,0.04106931728681129,1.798546314239502
7,5,327680,4.07453604566399e-05,4.0373361298406965e-05,4.0373361298406965e-05,3.7199915823293714e-07,3.7199915823293714e-07,0.009129853167670671,0.009129853167670671,0.3080880641937256
14,5,327680,4.41105970821809e-05,4.3979343172395605e-05,4.3979343172395605e-05,1.3125390978529643e-07,1.3125390978529643e-07,0.0029755641153703244,0.0029755641153703244,0.31503748893737793
35,4,262144,1.3070159639028134e-05,1.2917818366986467e-05,1.2917818366986467e-05,1.5234127204166725e-07,1.5234127204166725e-07,0.011655655037813677,0.011655655037813677,0.40555429458618164
