layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.422096374881221e-05,1.422096374881221e-05,1.6629655874567106e-08,1.6629655874567106e-08,0.0011680103091785796,0.0011680103091785796,1.424128532409668
7,5,327680,4.07453604566399e-05,4.072242008987814e-05,4.072242008987814e-05,2.2940366761761634e-08,2.2940366761761634e-08,0.0005630178873045962,0.0005630178873045962,0.1344308853149414
14,5,327680,4.41105970821809e-05,4.411057961988263e-05,4.411057961988263e-05,1.7462298269974464e-11,1.7462298269974464e-11,3.958753547915271e-07,3.958753547915271e-07,0.2041170597076416
35,4,262144,1.3070159639028134e-05,1.306317562921322e-05,1.306317562921322e-05,6.984009814914316e-09,6.984009814914316e-09,0.0005343477055980038,0.0005343477055980038,0.15728068351745605
