layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.3349203754842165e-05,1.3349203754842165e-05,8.88389649844612e-07,8.88389649844612e-07,0.06239745893798098,0.06239745893798098,2.700291156768799
7,5,327680,4.07453604566399e-05,3.926906538254116e-05,3.926906538254116e-05,1.4762950740987449e-06,1.4762950740987449e-06,0.03623222515529781,0.03623222515529781,1.0719883441925049
14,5,327680,4.41105970821809e-05,4.2948230111505835e-05,4.2948230111505835e-05,1.1623669706750661e-06,1.1623669706750661e-06,0.026351195575736622,0.026351195575736622,1.217738389968872
35,4,262144,1.3070159639028134e-05,1.267219818146259e-05,1.267219818146259e-05,3.9796145756554324e-07,3.9796145756554324e-07,0.03044809463361189,0.03044809463361189,1.169412612915039
