layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.3607086657430045e-05,1.3607086657430045e-05,6.305067472567316e-07,6.305067472567316e-07,0.044284643432026885,0.044284643432026885,1.9830820560455322
7,5,327680,4.07453604566399e-05,4.017347346234601e-05,4.017347346234601e-05,5.718869942938895e-07,5.718869942938895e-07,0.014035634680480396,0.014035634680480396,0.3330414295196533
14,5,327680,4.41105970821809e-05,4.389107489259914e-05,4.389107489259914e-05,2.1952218958176266e-07,2.1952218958176266e-07,0.004976631560275156,0.004976631560275156,0.33202314376831055
35,4,262144,1.3070159639028134e-05,1.2873968444182537e-05,1.2873968444182537e-05,1.9619119484559633e-07,1.9619119484559633e-07,0.015010619630058676,0.015010619630058676,0.27794909477233887
