layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.3645056014865986e-05,1.3645056014865986e-05,5.925373898207908e-07,5.925373898207908e-07,0.04161780526937491,0.04161780526937491,1.687835693359375
7,5,327680,4.07453604566399e-05,4.0326885027752724e-05,4.0326885027752724e-05,4.184754288871786e-07,4.184754288871786e-07,0.010270505014491373,0.010270505014491373,0.31409239768981934
14,5,327680,4.41105970821809e-05,4.4039329077349974e-05,4.4039329077349974e-05,7.126800483092666e-08,7.126800483092666e-08,0.0016156662921190967,0.0016156662921190967,0.3312392234802246
35,4,262144,1.3070159639028134e-05,1.291550688620191e-05,1.291550688620191e-05,1.5465275282622315e-07,1.5465275282622315e-07,0.011832506801556003,0.011832506801556003,0.3068232536315918
