layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.6283056311294786e-05,1.4237593404686777e-05,-2.0454629066080088e-06,0.0,-0.14366633801571246,0.0,1.4780175685882568
7,5,327680,4.07453604566399e-05,4.5722236973233524e-05,4.07453604566399e-05,-4.9768765165936215e-06,0.0,-0.12214584582924178,0.0,0.140150785446167
14,5,327680,4.41105970821809e-05,5.037568807892967e-05,4.41105970821809e-05,-6.2650909967487664e-06,0.0,-0.14203142580628633,0.0,0.14023351669311523
35,4,262144,1.3070159639028134e-05,1.532996407149767e-05,1.3070159639028134e-05,-2.2598044324695366e-06,0.0,-0.17289799779657244,0.0,0.13708782196044922
