layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4060573221286177e-05,1.4060573221286177e-05,1.7702018340060022e-07,1.7702018340060022e-07,0.01243329391204051,0.01243329391204051,1.4194598197937012
7,5,327680,4.07453604566399e-05,4.065288158017211e-05,4.065288158017211e-05,9.247887646779554e-08,9.247887646779554e-08,0.0022696786930185347,0.0022696786930185347,0.15754055976867676
14,5,327680,4.41105970821809e-05,4.4032894220435995e-05,4.4032894220435995e-05,7.770286174490641e-08,7.770286174490641e-08,0.0017615463603936476,0.0017615463603936476,0.20455622673034668
35,4,262144,1.3070159639028134e-05,1.3048988876107614e-05,1.3048988876107614e-05,2.1170762920519337e-08,2.1170762920519337e-08,0.0016197784499358682,0.0016197784499358682,0.1442251205444336
