layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4209721484803595e-05,1.4209721484803595e-05,2.7871919883182272e-08,2.7871919883182272e-08,0.0019576285886916327,0.0019576285886916327,1.4393301010131836
7,5,327680,4.07453604566399e-05,4.068265334353782e-05,4.068265334353782e-05,6.270711310208115e-08,6.270711310208115e-08,0.0015390000824464995,0.0015390000824464995,0.1458120346069336
14,5,327680,4.41105970821809e-05,4.41105970821809e-05,4.41105970821809e-05,0.0,0.0,0.0,0.0,0.15801668167114258
35,4,262144,1.3070159639028134e-05,1.306983449467225e-05,1.306983449467225e-05,3.2514435588382185e-10,3.2514435588382185e-10,2.4876846562219865e-05,2.4876846562219865e-05,0.20344972610473633
