layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.1688486498921217e-05,1.1688486498921217e-05,3.870281034323856e-07,3.870281034323856e-07,0.032050650939294226,0.032050650939294226,14.417726755142212
1,4,62914560,9.74841706407048e-06,9.258495066670018e-06,9.258495066670018e-06,4.899219974004613e-07,4.899219974004613e-07,0.050256569264578936,0.050256569264578936,12.752054452896118
6,4,62914560,1.3683765174240154e-05,1.3287428002210315e-05,1.3287428002210315e-05,3.963371720298398e-07,3.963371720298398e-07,0.028964043666574246,0.028964043666574246,12.913150072097778
7,5,87818240,3.290038464965347e-05,3.23302947924561e-05,3.23302947924561e-05,5.700898571973695e-07,5.700898571973695e-07,0.017327756598230958,0.017327756598230958,15.651041507720947
14,5,87818240,3.1084402412964106e-05,3.0675668052420254e-05,3.0675668052420254e-05,4.087343605438512e-07,4.087343605438512e-07,0.013149178649591278,0.013149178649591278,15.514619588851929
15,5,87818240,3.0390211542175194e-05,2.996454952235174e-05,2.996454952235174e-05,4.2566201982345534e-07,4.2566201982345534e-07,0.014006550077242021,0.014006550077242021,15.613091707229614
16,4,62914560,1.2284830700082238e-05,1.1976257076184993e-05,1.1976257076184993e-05,3.085736238972455e-07,3.085736238972455e-07,0.02511826425863401,0.02511826425863401,12.879744052886963
17,5,87818240,3.0214784012276876e-05,2.9807772096237793e-05,2.9807772096237793e-05,4.0701191603908306e-07,4.0701191603908306e-07,0.013470621397581591,0.013470621397581591,14.784611463546753
18,5,87818240,2.9663165392477495e-05,2.927439768495448e-05,2.927439768495448e-05,3.887677075230143e-07,3.887677075230143e-07,0.013106076252455674,0.013106076252455674,15.547385931015015
35,4,62914560,1.363365642343221e-05,1.3251407782869743e-05,1.3251407782869743e-05,3.822486405624669e-07,3.822486405624669e-07,0.028037133157140067,0.028037133157140067,11.663995027542114
