layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.1408766897602619e-05,1.1408766897602619e-05,6.667477047509838e-07,6.667477047509838e-07,0.05521484812092646,0.05521484812092646,72.55560541152954
1,4,62914560,9.74841706407048e-06,9.084705147858566e-06,9.084705147858566e-06,6.637119162119138e-07,6.637119162119138e-07,0.0680840706598553,0.0680840706598553,70.67517948150635
6,4,62914560,1.3683765174240154e-05,1.3051188579993322e-05,1.3051188579993322e-05,6.325765942468323e-07,6.325765942468323e-07,0.046228255614738624,0.046228255614738624,70.49242520332336
7,5,87818240,3.290038464965347e-05,3.2191162405178516e-05,3.2191162405178516e-05,7.092222444749557e-07,7.092222444749557e-07,0.02155665509772165,0.02155665509772165,82.90090799331665
14,5,87818240,3.1084402412964106e-05,3.054661780214389e-05,3.054661780214389e-05,5.377846108202151e-07,5.377846108202151e-07,0.017300786538393474,0.017300786538393474,83.3407998085022
15,5,87818240,3.0390211542175194e-05,2.982922779298874e-05,2.982922779298874e-05,5.609837491864527e-07,5.609837491864527e-07,0.018459356507207123,0.018459356507207123,85.53295373916626
16,4,62914560,1.2284830700082238e-05,1.173258893156041e-05,1.173258893156041e-05,5.522417685218277e-07,5.522417685218277e-07,0.044953144410702445,0.044953144410702445,81.13760280609131
17,5,87818240,3.0214784012276876e-05,2.9670764660526157e-05,2.9670764660526157e-05,5.440193517507183e-07,5.440193517507183e-07,0.01800507167384259,0.01800507167384259,94.64123439788818
18,5,87818240,2.9663165392477495e-05,2.9141286627711804e-05,2.9141286627711804e-05,5.218787647656912e-07,5.218787647656912e-07,0.01759349542979113,0.01759349542979113,83.33736801147461
35,4,62914560,1.363365642343221e-05,1.3015552447844432e-05,1.3015552447844432e-05,6.18103975587778e-07,6.18103975587778e-07,0.045336625509019034,0.045336625509019034,74.92225956916809
