layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.2049652771869054e-05,1.2049652771869054e-05,2.5861830484548442e-08,2.5861830484548442e-08,0.002141675227613719,0.002141675227613719,22.65903091430664
1,4,62914560,9.74841706407048e-06,9.68121788084512e-06,9.68121788084512e-06,6.719918322535997e-08,6.719918322535997e-08,0.00689334307136227,0.00689334307136227,21.060043573379517
6,4,62914560,1.3683765174240154e-05,1.3639948338095565e-05,1.3639948338095565e-05,4.381683614458936e-08,4.381683614458936e-08,0.003202103776749623,0.003202103776749623,21.018839359283447
7,5,87818240,3.290038464965347e-05,3.274959915381884e-05,3.274959915381884e-05,1.5078549583463313e-07,1.5078549583463313e-07,0.004583092186924365,0.004583092186924365,24.41182589530945
14,5,87818240,3.1084402412964106e-05,3.1058506734118404e-05,3.1058506734118404e-05,2.5895678845701232e-08,2.5895678845701232e-08,0.0008330762966477728,0.0008330762966477728,24.062098503112793
15,5,87818240,3.0390211542175194e-05,3.0365650591600353e-05,3.0365650591600353e-05,2.4560950574841194e-08,2.4560950574841194e-08,0.0008081862326215065,0.0008081862326215065,24.231309175491333
16,4,62914560,1.2284830700082238e-05,1.2266973044461338e-05,1.2266973044461338e-05,1.7857655620900236e-08,1.7857655620900236e-08,0.001453634653734438,0.001453634653734438,20.83514714241028
17,5,87818240,3.0214784012276876e-05,3.0198846447933986e-05,3.0198846447933986e-05,1.593756434288955e-08,1.593756434288955e-08,0.0005274756998565271,0.0005274756998565271,24.19994854927063
18,5,87818240,2.9663165392477495e-05,2.9644224114643076e-05,2.9644224114643076e-05,1.894127783441942e-08,1.894127783441942e-08,0.000638545400796062,0.000638545400796062,23.8477725982666
35,4,62914560,1.363365642343221e-05,1.3618708188308422e-05,1.3618708188308422e-05,1.4948235123788162e-08,1.4948235123788162e-08,0.0010964215805010738,0.0010964215805010738,20.51772689819336
