layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.3998319673191872e-05,1.3998319673191872e-05,2.392737314949045e-07,2.392737314949045e-07,0.016805770799448422,0.016805770799448422,1.533301830291748
7,5,327680,4.07453604566399e-05,4.037543658341747e-05,4.037543658341747e-05,3.699238732224344e-07,3.699238732224344e-07,0.009078920129227896,0.009078920129227896,0.30406665802001953
14,5,327680,4.41105970821809e-05,4.399776844365988e-05,4.399776844365988e-05,1.1282863852102174e-07,1.1282863852102174e-07,0.002557857884145496,0.002557857884145496,0.3058323860168457
35,4,262144,1.3070159639028134e-05,1.3049219887761865e-05,1.3049219887761865e-05,2.0939751266269013e-08,2.0939751266269013e-08,0.0016021037113993538,0.0016021037113993538,0.2857704162597656
