layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4213054782885592e-05,1.4213054782885592e-05,2.453862180118449e-08,2.453862180118449e-08,0.001723509100428924,0.001723509100428924,1.441375970840454
7,5,327680,4.07453604566399e-05,4.071312214364298e-05,4.071312214364298e-05,3.223831299692257e-08,3.223831299692257e-08,0.0007912143281007342,0.0007912143281007342,0.0727379322052002
14,5,327680,4.41105970821809e-05,4.4097445061197506e-05,4.4097445061197506e-05,1.315202098339525e-08,1.315202098339525e-08,0.00029816012145317787,0.00029816012145317787,0.06866192817687988
35,4,262144,1.3070159639028134e-05,1.3070159639028134e-05,1.3070159639028134e-05,0.0,0.0,0.0,0.0,0.06899714469909668
