layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.1479829333893577e-05,1.1479829333893577e-05,5.956852684600257e-07,5.956852684600257e-07,0.04933001102445129,0.04933001102445129,24.523600578308105
1,4,62914560,9.74841706407048e-06,9.143727342042496e-06,9.143727342042496e-06,6.046897220279835e-07,6.046897220279835e-07,0.06202952931267936,0.06202952931267936,22.302443981170654
6,4,62914560,1.3683765174240154e-05,1.3121720716450606e-05,1.3121720716450606e-05,5.620444577895487e-07,5.620444577895487e-07,0.04107381635338232,0.04107381635338232,22.835010766983032
7,5,87818240,3.290038464965347e-05,3.224774410947288e-05,3.224774410947288e-05,6.526405401805887e-07,6.526405401805887e-07,0.01983686656342672,0.01983686656342672,26.79717445373535
14,5,87818240,3.1084402412964106e-05,3.060085390331293e-05,3.060085390331293e-05,4.835485096511737e-07,4.835485096511737e-07,0.015555985385438979,0.015555985385438979,26.618756532669067
15,5,87818240,3.0390211542175194e-05,2.9885790699249334e-05,2.9885790699249334e-05,5.044208429258602e-07,5.044208429258602e-07,0.016598135298460513,0.016598135298460513,26.20014762878418
16,4,62914560,1.2284830700082238e-05,1.1805853860854161e-05,1.1805853860854161e-05,4.789768392280767e-07,4.789768392280767e-07,0.03898929101439471,0.03898929101439471,21.89585018157959
17,5,87818240,3.0214784012276876e-05,2.9728682287651592e-05,2.9728682287651592e-05,4.861017246252833e-07,4.861017246252833e-07,0.01608820782659808,0.01608820782659808,25.73563551902771
18,5,87818240,2.9663165392477495e-05,2.9196833468210857e-05,2.9196833468210857e-05,4.663319242666386e-07,4.663319242666386e-07,0.015720909016166535,0.015720909016166535,25.711315155029297
35,4,62914560,1.363365642343221e-05,1.3083610887557977e-05,1.3083610887557977e-05,5.500455358742332e-07,5.500455358742332e-07,0.040344682218107546,0.040344682218107546,21.74565601348877
