layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4178611536408425e-05,1.4178611536408425e-05,5.898186827835161e-08,5.898186827835161e-08,0.004142685255988261,0.004142685255988261,1.4083621501922607
7,5,327680,4.07453604566399e-05,4.04516416892875e-05,4.04516416892875e-05,2.937187673524049e-07,2.937187673524049e-07,0.00720864324332024,0.00720864324332024,0.14535117149353027
14,5,327680,4.41105970821809e-05,4.4030445133103056e-05,4.4030445133103056e-05,8.015194907784462e-08,8.015194907784462e-08,0.0018170678789161785,0.0018170678789161785,0.1558077335357666
35,4,262144,1.3070159639028134e-05,1.3070159639028134e-05,1.3070159639028134e-05,0.0,0.0,0.0,0.0,0.1805102825164795
