layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.336716627520218e-05,1.336716627520218e-05,8.704271294845967e-07,8.704271294845967e-07,0.06113583277340022,0.06113583277340022,1.891237735748291
7,5,327680,4.07453604566399e-05,3.935266213375144e-05,3.935266213375144e-05,1.3926983228884637e-06,1.3926983228884637e-06,0.03418053754538594,0.03418053754538594,0.30765581130981445
14,5,327680,4.41105970821809e-05,4.302887464291416e-05,4.302887464291416e-05,1.08172243926674e-06,1.08172243926674e-06,0.024522960712851403,0.024522960712851403,0.34183263778686523
35,4,262144,1.3070159639028134e-05,1.2683396107604494e-05,1.2683396107604494e-05,3.867635314236395e-07,3.867635314236395e-07,0.029591339517288276,0.029591339517288276,0.28340983390808105
