accepted_abs_delta,accepted_mse,accepted_rel_delta,candidate_count,chunks,device,elapsed_sec,elements,grad_clip,id,improved_chunks,initial_mse,log,lr,neighbor_candidates,optimizer_name,out,preset,raw_abs_delta,raw_best_mse,raw_rel_delta,restarts,result_dir,returncode,rotation_trick,scale_end,scale_start,stage,std,steps,strength,target_candidates,temp_end,temp_start,tensors,weight_decay
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:7,19.99904704093933,1179648,0.0,scale_1_40,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_1_40/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_1_40,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_1_40/20260516-042144_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:7,20.355796813964844,1179648,0.0,opt_adam,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/opt_adam/subprocess.log,0.05,4,adam,runtime/gsvq_iquant_hparam/20260516-041814/search/opt_adam,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/opt_adam/20260516-042205_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:7,19.74233102798462,1179648,0.1,clip_0.1,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_0.1/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_0.1,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_0.1/20260516-042225_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:3,19.824977159500122,1179648,0.0,steps_20,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_20/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_20,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_20/20260516-041922_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:3,19.855231761932373,1179648,0.0,cand_8_n4_t4,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_8_n4_t4/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_8_n4_t4,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_8_n4_t4/20260516-041942_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:3,20.18799352645874,1179648,0.0,opt_adamw,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/opt_adamw/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/opt_adamw,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/opt_adamw/20260516-042223_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:3,20.318615674972534,1179648,1.0,clip_1,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_1/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_1,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_1/20260516-042243_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:5,21.322747230529785,1179648,0.0,current_tuned,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/current_tuned/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/current_tuned,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/current_tuned/20260516-041822_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:5,20.297310829162598,1179648,0.0,lr_0.05,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/lr_0.05/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/lr_0.05,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/lr_0.05/20260516-041843_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,8,18,cuda:5,20.356799364089966,1179648,5.0,clip_5,14,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_5/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_5,tuned,1.2280674531616026e-07,2.9516682136292933e-05,0.004143348956073267,1,runtime/gsvq_iquant_hparam/20260516-041814/search/clip_5/20260516-042246_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
