layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.7016098581734695e-05,1.4237593404686777e-05,-2.7785051770479186e-06,0.0,-0.19515272687400115,0.0,1.4619548320770264
7,5,327680,4.07453604566399e-05,4.5866870641475545e-05,4.07453604566399e-05,-5.1215101848356426e-06,0.0,-0.12569554244797548,0.0,0.14906907081604004
14,5,327680,4.41105970821809e-05,5.0660427223192525e-05,4.41105970821809e-05,-6.549830141011624e-06,0.0,-0.14848654460081023,0.0,0.1640012264251709
35,4,262144,1.3070159639028134e-05,1.6090380768218893e-05,1.3070159639028134e-05,-3.020221129190759e-06,0.0,-0.23107760062640945,0.0,0.1582937240600586
