layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.2075250515408697e-05,1.2075250515408697e-05,2.64086944905251e-10,2.64086944905251e-10,2.186962242203563e-05,2.186962242203563e-05,6.8543665409088135
1,4,62914560,9.74841706407048e-06,9.747748130717326e-06,9.747748130717326e-06,6.689333531539887e-10,6.689333531539887e-10,6.861968961293842e-05,6.861968961293842e-05,5.340814590454102
6,4,62914560,1.3683765174240154e-05,1.3683687624658584e-05,1.3683687624658584e-05,7.754958157026818e-11,7.754958157026818e-11,5.6672692481054964e-06,5.6672692481054964e-06,5.2829248905181885
7,5,87818240,3.290038464965347e-05,3.289424741198483e-05,3.289424741198483e-05,6.137237668643689e-09,6.137237668643689e-09,0.00018653999744979672,0.00018653999744979672,6.731104135513306
14,5,87818240,3.1084402412964106e-05,3.1081389167425115e-05,3.1081389167425115e-05,3.0132455389902425e-09,3.0132455389902425e-09,9.693754118089573e-05,9.693754118089573e-05,6.75107741355896
15,5,87818240,3.0390211542175194e-05,3.0386804330680493e-05,3.0386804330680493e-05,3.40721149470096e-09,3.40721149470096e-09,0.0001121154253886147,0.0001121154253886147,6.828367471694946
16,4,62914560,1.2284830700082238e-05,1.2284830700082238e-05,1.2284830700082238e-05,0.0,0.0,0.0,0.0,5.719613313674927
17,5,87818240,3.0214784012276876e-05,3.0213013750070066e-05,3.0213013750070066e-05,1.7702622068094926e-09,1.7702622068094926e-09,5.858927226122813e-05,5.858927226122813e-05,6.907811880111694
18,5,87818240,2.9663165392477495e-05,2.9661127407609402e-05,2.9661127407609402e-05,2.037984868093445e-09,2.037984868093445e-09,6.870422765502542e-05,6.870422765502542e-05,6.760263681411743
35,4,62914560,1.363365642343221e-05,1.3633020792743385e-05,1.3633020792743385e-05,6.356306888253123e-10,6.356306888253123e-10,4.662217303150252e-05,4.662217303150252e-05,5.309624195098877
