layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4072016256250208e-05,1.4072016256250208e-05,1.6557714843656868e-07,1.6557714843656868e-07,0.011629574165396762,0.011629574165396762,1.4296875
7,5,327680,4.07453604566399e-05,4.055458412040025e-05,4.055458412040025e-05,1.907763362396549e-07,1.907763362396549e-07,0.004682160965115866,0.004682160965115866,0.16677594184875488
14,5,327680,4.41105970821809e-05,4.4032004370819775e-05,4.4032004370819775e-05,7.859271136112647e-08,7.859271136112647e-08,0.0017817195086863855,0.0017817195086863855,0.15269970893859863
35,4,262144,1.3070159639028134e-05,1.303904491578578e-05,1.303904491578578e-05,3.111472324235365e-08,3.111472324235365e-08,0.0023805924412310595,0.0023805924412310595,0.15581583976745605
