layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.353665038550389e-05,1.353665038550389e-05,7.009430191828869e-07,7.009430191828869e-07,0.04923184693223141,0.04923184693223141,1.9025204181671143
7,5,327680,4.07453604566399e-05,4.007468050986063e-05,4.007468050986063e-05,6.706799467792721e-07,6.706799467792721e-07,0.01646027766751484,0.01646027766751484,0.40740299224853516
14,5,327680,4.41105970821809e-05,4.372649564174935e-05,4.372649564174935e-05,3.8410144043155015e-07,3.8410144043155015e-07,0.008707690800828297,0.008707690800828297,0.3727231025695801
35,4,262144,1.3070159639028134e-05,1.2839041573897703e-05,1.2839041573897703e-05,2.311180651304312e-07,2.311180651304312e-07,0.017682880049934617,0.017682880049934617,0.44162988662719727
