layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.4053352515475126e-05,1.4053352515475126e-05,1.8424088921165094e-07,1.8424088921165094e-07,0.012940451660250527,0.012940451660250527,2.6796071529388428
7,5,327680,4.07453604566399e-05,4.0581046596344096e-05,4.0581046596344096e-05,1.6431386029580608e-07,1.6431386029580608e-07,0.004032701108894702,0.004032701108894702,1.1933350563049316
14,5,327680,4.41105970821809e-05,4.401868063723669e-05,4.401868063723669e-05,9.191644494421374e-08,9.191644494421374e-08,0.002083772404462525,0.002083772404462525,1.3916277885437012
35,4,262144,1.3070159639028134e-05,1.30265764255455e-05,1.30265764255455e-05,4.3583213482634164e-08,4.3583213482634164e-08,0.0033345586195055003,0.0033345586195055003,1.1987156867980957
