layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,262144,1.4237593404686777e-05,1.341004713140137e-05,1.341004713140137e-05,8.275462732854066e-07,8.275462732854066e-07,0.05812402768946838,0.05812402768946838,2.0819802284240723
7,5,327680,4.07453604566399e-05,3.9328472303168384e-05,3.9328472303168384e-05,1.4168881534715183e-06,1.4168881534715183e-06,0.03477422061290467,0.03477422061290467,0.30937790870666504
14,5,327680,4.41105970821809e-05,4.300830842112191e-05,4.300830842112191e-05,1.102288661058988e-06,1.102288661058988e-06,0.024989202912065616,0.024989202912065616,0.33472228050231934
35,4,262144,1.3070159639028134e-05,1.2727672128676204e-05,1.2727672128676204e-05,3.424875103519298e-07,3.424875103519298e-07,0.02620377407856943,0.02620377407856943,0.3307220935821533
